x,y,vocab,count
4.228414,24.571741,prudente,74
16.684807,17.026293,investigación,4899
-16.181894,45.873985,curso,548
17.688128,15.906698,fiscalía,3050
-5.081974,30.570923,colaborar,203
-4.166157,23.866465,esclarecer,234
-9.741965,43.04386,razones,748
8.237245,-15.626155,joven,3548
7.8417773,14.8141365,grave,1147
13.0183325,-20.838017,fiesta,420
-8.494951,-50.31094,chonchi,34
-8.501347,-50.47125,provincia_chiloé,37
2.8837078,-26.214077,internado_hospital,51
40.646923,-2.5820706,augusto,60
52.051315,1.9020193,castro,479
-26.36938,44.521305,permanece,296
2.5061092,-20.65575,agresión,524
-18.51616,3.7782812,sufrió,745
-2.0792556,-18.816177,arma_cortopunzante,40
-7.6254845,-45.409687,sector,3576
16.956228,-30.176188,evento,908
21.74492,-9.478279,escuela,1036
51.690155,-12.195043,miguel,437
43.115826,16.365047,aguilar,242
19.711775,49.32634,detalló,1833
6.4446735,-17.275055,agresor,228
46.772495,-21.246067,20_años,617
3.752669,-17.480738,detenido,1799
4.901362,-21.8472,funcionarios_policiales,66
19.581438,10.391187,detención,1346
10.192911,47.591366,amplió,79
-53.28113,-15.881358,jueves,4736
9.540819,36.562954,informe,2556
5.2905827,-27.18891,médico,948
-1.1453345,-21.500614,lesiones,597
-35.565132,39.59733,presenta,515
14.297551,15.188824,caso,7672
8.043681,16.098433,criminal,363
14.4272375,11.05548,investigado,350
16.786913,17.020725,desformalizada,16
7.1519575,-23.160952,pdi,1161
2.956814,-18.24688,descubierto,357
-53.276474,-15.923295,martes,4819
17.944145,40.893448,justicia,3649
10.305616,47.592407,decretó,258
15.933478,13.817977,medida_cautelar,278
15.899422,13.809109,prisión_preventiva,939
11.663351,8.656206,imputado,953
10.177557,8.619505,autor,589
10.277701,11.31402,delito_violación,59
7.9294086,25.910664,cuya,926
10.087361,-14.963096,hermana,473
-7.370501,-5.719667,constató,261
27.017698,-20.978447,diario,1612
11.746628,-45.455914,centro,3257
-3.7573075,8.315416,ataques,1236
4.556116,7.3494687,sexuales,331
-13.1946745,7.271768,remontan,65
-50.47354,-19.143387,enero,1472
-50.461517,-19.009409,julio,1584
-6.225609,-38.096836,domicilio,790
11.569801,-13.722099,familiar,661
-4.8812003,-40.89995,ubicado,574
8.670432,-42.994854,barrio,598
8.263029,-40.82808,norte,2397
-3.3699195,-49.41639,talca,284
17.947458,15.830637,fiscal,3082
50.91542,-9.789439,pedro,460
47.72169,2.4849117,salgado,36
-22.177248,-36.71302,especialidad,48
-3.8667638,23.976854,investigar,506
11.062068,11.089951,delitos,1391
7.3734093,8.379802,connotación,89
7.3957257,7.1538134,sexual,552
-49.28521,-15.250271,10_julio,71
-16.223886,4.77034,derivada,90
3.9651108,-26.08925,urgencia_hospital,75
47.424564,7.1007175,regional,1350
-2.291942,-19.693602,presentaba,205
-25.23832,4.891435,examen,218
-14.307848,-0.54684937,especialistas,351
-23.642633,-1.4528893,diagnosticado,42
-21.333324,36.09087,aborto,553
5.629,-27.857624,ginecólogo,35
4.3518605,-26.460115,atendió,53
16.91442,44.858826,denuncia,1820
6.269552,8.5803585,abuso_sexual,520
3.050113,7.672441,inmediato,630
-3.0522928,22.499086,instruyeron,15
1.6559865,11.13973,investigativas,57
-17.446112,10.692791,adn,156
7.5468287,-23.132565,investigadora_delitos,22
-7.79294,-1.2123915,interrogaron,14
11.30456,-15.941917,grupo_familiar,47
10.844411,-13.978604,padres,1523
10.713987,-14.205267,hermanos,482
19.45955,33.804276,reunió,491
-7.164852,22.926481,información,3141
-20.612156,29.859104,estableciendo,61
-18.503546,3.6197968,sufre,314
-22.83757,-1.2788266,enfermedad,724
-17.984484,-0.24638164,mental,178
1.9759245,-23.840294,postrada,24
18.456583,40.13757,juez,1414
48.237225,-6.9290204,américo,16
16.491634,-13.421956,personalidad,173
-36.57873,10.449559,edad,1043
-15.240031,29.388311,correspondiente,363
9.769465,-16.098244,bebé,593
-49.464386,-21.459803,nueve_meses,103
-51.186108,-20.394293,presente_año,65
9.109073,48.249966,ordenó,893
-10.095193,39.147106,toma,592
-36.20232,-16.94618,muestras,293
-23.27248,-24.123455,sangre,512
10.526737,-15.025632,familia,3450
1.7504807,12.654516,evidencia,579
-18.557558,-3.8980405,biológica,55
37.35313,36.10116,encargado,594
6.436212,-22.999228,sección,207
-22.501284,-3.8879468,genética,68
27.227293,-14.076939,forense,91
6.5658293,-25.273516,servicio_médico,238
11.4961815,54.34373,legal,1197
6.650858,-25.10396,sml,68
-51.785694,-18.806513,cuyo,1067
-33.85144,9.21999,resultado,1311
15.269042,-17.847572,recién,635
-53.042168,-16.272278,semana,4803
17.92115,15.881741,persecutor,203
2.328872,10.517189,peritaje,42
-21.160912,30.296928,estableció,408
3.4802089,3.8260329,paternidad,30
-17.68327,-3.6377928,embarazo,266
-28.000378,35.991352,corresponde,827
9.360854,11.915061,agravantes,21
2.7639024,-25.292284,atendida,83
9.622567,15.149205,circunstancia,76
9.952622,12.235882,agravante,48
-4.5215693,20.212383,condición,710
4.5578036,17.797493,indefensión,16
6.2789016,48.642338,exigió,237
9.18937,40.37936,estimar,71
16.11542,14.21501,libertad,1443
-0.4659006,21.258284,constituye,280
-13.44526,25.94096,seguridad,3187
1.9765862,22.993786,sociedad,1257
-35.79433,23.062065,contraparte,68
41.283577,1.5177749,abogada,435
17.897285,6.564829,paz,1744
50.331154,0.013244888,díaz,469
40.77299,5.3466706,defensoría_penal,43
46.438,12.712571,pública,1323
11.720793,33.76649,replicó,108
-23.236887,30.85488,estricto,75
-12.122626,27.198778,cuidado,559
10.070442,-15.092476,madre,2034
-14.585531,5.493261,registra,305
12.717825,15.803706,condenas,198
-8.668226,11.729628,anteriores,509
12.247316,35.178837,opuso,90
7.551551,48.902893,petición,641
5.457992,38.151722,inclinó,37
7.5523963,48.865364,solicitud,918
-34.90569,26.022863,ingreso,1014
13.659483,14.3218775,cárcel,1429
-19.3425,33.97462,limitar,205
-49.51772,-21.36318,meses,4080
-17.12272,41.918808,plazo_investigación,80
-2.9743407,22.495766,instruyó,153
5.492382,-21.684881,gendarmería,378
13.54774,34.417095,defensa,1805
-25.930016,39.10206,cumplir,850
7.0850277,-24.511543,unidad,1005
5.1025743,-15.971379,penal,834
-0.4358138,31.691574,distinta,159
-17.015036,31.880512,carácter,629
13.172742,9.533045,privado,550
-23.278936,33.081516,ley,3888
25.381878,37.36253,sesionó,11
28.272959,38.802704,congreso,2647
27.522491,37.670715,comisión,1789
-9.190973,25.735361,control,1798
-26.862728,29.20321,sistema,2950
30.17334,-3.420932,inteligencia,585
26.871778,38.557087,instancia,1784
9.14856,-10.79194,contó,866
12.503864,21.895506,presencia,1599
33.250336,12.679722,ministro_defensa,240
44.77837,14.388713,alberto_espina,57
42.424,4.9120016,jefe,2309
45.4974,7.941524,dirección,1314
21.098051,5.330657,ejército,1340
50.78553,-9.156974,guillermo,263
-25.507738,46.092113,estuvieron,373
28.87183,31.697054,diputados,1433
25.58071,38.41517,puerta_cerrada,52
28.727272,11.305537,reunión,2622
9.734057,-16.277212,supo,218
12.605912,50.145863,indicado,297
47.859394,11.63139,autoridad,1469
8.588495,24.897575,política,3285
21.036139,5.294319,militar,1824
-37.997078,36.5334,puso,638
-0.549737,19.625301,conocimiento,554
28.875942,31.70521,parlamentarios,799
-31.642931,1.6698909,operaciones,1070
23.16136,-35.483128,w,46
-31.518183,35.958298,entregando,143
-10.083609,4.9765434,rasgos,63
-25.0915,26.015114,objetivos,454
6.165098,47.965927,pedirle,122
41.62189,14.716534,ministro,3070
16.406105,41.519337,corte_apelaciones,716
-24.545954,29.05893,autorizaciones,38
-17.424038,46.608532,a_cabo,1596
-17.167772,15.527144,tales,385
1.6497803,11.171031,indagaciones,76
14.661872,11.01567,investigará,43
-40.277695,-7.329804,filtración,201
-6.806292,4.0524607,escuchas,38
-6.7872868,3.9803743,telefónicas,109
5.6882277,56.00286,pese_a,2761
20.829487,5.1741467,militares,1813
25.38977,-1.4974631,periodista,1022
50.86738,-11.379735,mauricio,413
-31.643955,1.7154756,operación,1303
3.8414981,-3.5524435,simplemente,443
13.361618,28.728846,denunciando,156
14.285479,12.330249,corrupción,1402
26.49473,22.728115,filas,247
0.4594449,7.4409204,castrenses,15
18.64977,-3.5232222,fuentes,793
-7.5874896,-3.6812584,presentes,480
20.482384,47.46324,reconoció,1104
-49.94663,-18.849104,enero_2018,91
-1.8887466,-10.215572,escuchó,158
12.419309,50.017902,precisando,126
-49.812805,1.3420737,actualidad,345
-17.476727,45.602974,desarrollado,261
5.757071,-0.96365684,gente,2347
-39.598473,-5.25619,activos,419
-3.9780529,37.442585,actual,1892
5.2545676,52.20569,descartó,691
-15.132989,34.281574,exista,209
-13.458349,26.978867,seguimiento,235
19.46167,8.17709,periodistas,1261
8.181164,-15.959149,persona,2872
-9.986397,14.2294445,objeto,640
15.115055,-2.6269617,escucha,159
-15.228243,-36.79874,telefónica,132
-15.119143,21.78749,o,16152
7.872939,-31.897738,chile,8408
7.8300695,-15.882439,sujeto,601
-23.126598,28.049345,leyes,515
-26.431316,29.60052,procedimientos,324
-19.861805,21.904634,especiales,376
-30.738455,35.69872,obtención,68
21.880026,11.324659,república,550
-4.880549,-16.425806,sujetos,313
-9.564401,-3.697027,chilenos,1372
-6.2850647,-52.722633,radio_bío,955
-6.2202744,-52.55195,bío,1860
46.171715,18.135841,presidente_comisión,369
47.57265,18.536436,diputado,1618
51.565422,-11.209435,osvaldo,106
51.161156,1.9076647,urrutia,62
48.00037,20.426054,udi,388
-0.1666293,51.151543,evitó,188
-31.701216,35.613632,entregar,890
-7.3795753,23.008118,detalles,968
11.024524,50.892452,anunció,2991
-12.80878,47.97772,volverán,75
26.154903,38.27141,sesionar,16
-53.302998,-15.901976,lunes,5168
-31.61429,-38.32402,oficinas,521
-1.8549733,-10.130333,escuchar,393
-3.5722358,32.5013,explicaciones,225
19.5465,7.0244184,otrora,164
32.52117,20.125103,líder,1720
49.02954,5.466604,nazal,13
32.48621,32.893154,cargo,2906
45.240925,6.779729,entidad,883
-51.081272,-20.60231,2017,2533
-6.9209857,4.2034516,seguimientos,14
-4.1812634,3.747903,secreto,368
